netrent,netrent.sqm,living.space,rooms,year,district,location,warm.water,central.heating,bath.tiles,bath.extras,upscale.kitchen
741.39,10.9,68,2,1918,2,good,yes,yes,yes,no,no
715.82,11.01,65,2,1995,2,good,yes,yes,yes,no,no
528.25,8.38,63,3,1918,2,good,yes,yes,yes,no,no
553.99,8.52,65,3,1983,16,simple,yes,yes,yes,yes,no
698.21,6.98,100,4,1995,16,good,yes,yes,yes,yes,yes
935.65,11.55,81,4,1980,16,simple,yes,yes,yes,no,no
204.85,3.72,55,2,1924,6,simple,yes,yes,yes,yes,no
426.93,5.4,79,3,1924,6,simple,yes,yes,yes,no,no
446.33,8.58,52,1,1957,6,simple,yes,yes,yes,no,no
381.45,4.95,77,3,1948,6,simple,yes,yes,yes,no,no
337.26,9.64,35,1,1957,6,simple,yes,yes,yes,no,no
756.73,11.13,68,2,1985,6,good,yes,yes,yes,no,no
945.9,10.28,92,3,1918,12,good,yes,yes,yes,no,no
264.93,11.52,23,1,1957.5,4,good,yes,yes,yes,no,no
540.58,6.84,79,2,1918,12,good,yes,yes,yes,no,no
757.74,9.24,82,4,1966,10,simple,yes,yes,no,no,no
538.7,7.48,72,3,1972,10,simple,yes,yes,yes,no,no
796.07,4.47,178,6,1918,1,good,no,no,yes,no,no
461.19,9.41,49,2,2001,3,good,yes,yes,no,no,no
752.27,8.65,87,3,1966,4,simple,yes,yes,no,yes,no
446.55,10.38,43,2,1972,4,simple,yes,yes,yes,no,no
548.17,8.99,61,2,1957,4,simple,yes,yes,no,no,no
421.03,7.02,60,3,1966,4,simple,yes,yes,no,no,no
759.57,8.53,89,4,1960,4,simple,yes,yes,no,no,no
390,4.24,92,3,1918,4,good,no,no,yes,no,no
436.89,6.72,65,2,1918,4,good,yes,yes,yes,no,no
174.76,3.07,57,3,1957,14,simple,yes,yes,no,no,no
354.91,9.34,38,1,1967,14,simple,yes,yes,no,no,yes
491.62,9.83,50,2,1985,14,simple,yes,yes,yes,no,no
695.36,11.04,63,2,1992,3,good,yes,yes,yes,yes,no
540.22,7.2,75,3,1966,5,simple,yes,yes,yes,no,no
325.12,6.13,53,2,1976,17,simple,yes,yes,yes,no,no
598.88,6.81,88,4,1966,21,good,yes,yes,no,no,no
466.38,6.86,68,3,1971,22,simple,yes,yes,yes,no,no
374.13,6.93,54,2,1960,7,simple,yes,yes,yes,no,no
488.3,6.34,77,3,1972,7,simple,yes,yes,yes,no,no
662.55,8.39,79,3,1957.5,3,good,yes,yes,yes,no,no
357.05,9.92,36,2,1960,3,good,yes,no,yes,no,no
1061.81,11.3,94,3,1993,15,good,yes,yes,yes,yes,no
546.1,8.03,68,3,1918,9,good,yes,yes,yes,no,no
360.48,5.81,62,3,1918,9,good,no,no,yes,no,no
422.43,4.18,101,4,1918,9,good,yes,no,yes,no,no
433.25,6.37,68,3,1966,13,simple,yes,yes,no,no,no
521.53,10.87,48,2,1987,2,good,yes,yes,yes,no,no
264.99,8.55,31,1,1973,11,simple,yes,yes,yes,no,no
480.1,7.39,65,3,1971,11,simple,yes,yes,yes,no,no
383.72,10.66,36,1,1972,4,good,yes,yes,yes,no,no
636.13,11.78,54,2,1999,10,simple,yes,yes,yes,no,yes
415.91,7.56,55,2,1986,10,simple,yes,yes,yes,no,no
1355.28,11.99,113,4,2001,23,simple,yes,yes,yes,no,no
