X,Y
-0.931,0.547
-0.849,-0.052
-0.954,2.085
0.303,-1.458
0.484,0.701
-0.282,0.088
-0.457,2.04
-0.016,-1.417
-0.296,-1.982
0.811,-1.218
0.664,0.397
-0.443,0.472
-0.669,1.102
0.504,-1.837
-0.218,-0.521
0.406,-0.378
0.16,-0.409
0.757,-1.708
-0.817,2.055
-0.04,1.655
-0.428,0.663
0.165,-1.696
0.31,-0.21
0.443,-0.872
-0.333,1.378
0.541,-0.271
0.752,-1.372
-0.706,2.034
0.954,-1.475
0.17,0.093
0.418,0.268
-0.644,-0.307
0.665,-1.745
-0.901,1.374
-0.229,1.738
0.35,1.166
-0.538,2.792
-0.075,-0.074
0.588,0.12
0.728,-1.513
0.429,0.422
-0.55,1.219
